                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4638,                 1.2299,                 2.3767,                0.43993,                0.32292,                0.27549,                0.09378,                 2.3805,                 2.2239,                 4.2825,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4464,                 1.2141,                 2.3566,                0.38679,                0.42052,                0.28068,                0.09813,                 2.1944,                 2.1991,                 4.0201,               0.001307,               0.001307,               0.001307
                     37,                 1.4525,                  1.231,                 2.4003,                0.33374,                 0.4375,                0.27978,                0.10419,                 2.3316,                 2.2176,                 4.3427,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4205,                 1.1771,                 2.3671,                0.33509,                0.47917,                0.27474,                0.09812,                 2.1692,                 2.2838,                 4.2996,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.401,                 1.1372,                 2.3589,                0.31776,                0.25521,                0.16752,                0.05898,                 2.3676,                  2.643,                 4.2457,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3676,                 1.1038,                 2.2494,                0.39894,                0.28348,                0.20627,                0.07458,                 2.4333,                 2.3359,                 4.2798,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.3939,                 1.1595,                 2.3956,                0.42353,                0.38542,                0.27938,                0.09341,                 2.3437,                 2.2415,                 4.2723,               0.001208,               0.001208,               0.001208
                     42,                  1.361,                 1.0827,                 2.3395,                0.38025,                0.51562,                0.33685,                0.11442,                 2.3049,                 2.0751,                 4.2993,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3743,                 1.1051,                 2.3013,                0.38357,                0.41667,                 0.2703,                0.10284,                 2.3242,                 2.2415,                 4.2876,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3501,                 1.0935,                 2.3373,                0.41523,                0.36458,                 0.2779,                 0.0927,                 2.3532,                 2.2306,                 4.3391,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3035,                  1.058,                 2.2771,                0.28355,                0.42256,                0.23835,                0.07492,                 2.3242,                 2.3817,                 4.1409,              0.0011288,              0.0011288,              0.0011288
