image_name,x,y,z,r
img_0.jpg,240.882996,9.191853,144.181412,10.267824
img_1.jpg,247.619934,-11.427181,144.886276,14.420230
img_2.jpg,224.528290,12.825930,152.896179,-9.323740
img_3.jpg,230.220520,-3.213567,152.400162,-5.307298
img_4.jpg,216.800537,4.319334,144.291138,-25.154997
img_5.jpg,219.186630,8.511246,140.128998,0.915953
img_6.jpg,234.162750,2.203397,151.116776,29.381519
img_7.jpg,221.793427,8.850038,148.314438,-27.400150
img_8.jpg,228.803207,-0.110014,144.824402,5.460773
img_9.jpg,232.552582,1.514664,153.720032,4.138975
img_10.jpg,234.162277,-10.691530,142.447327,-8.487147
img_11.jpg,245.403946,12.952468,144.416199,18.556339
img_12.jpg,231.003494,-14.378214,142.891785,-28.404099
img_13.jpg,244.368561,-7.619696,141.795334,-22.332455
img_14.jpg,221.305374,-0.617731,148.018906,-8.065507
